HEAD,total_spend_pkr,avg_share_pct,first_month,last_month,months_active,mean_mom_growth
Vehicle 2.OD POL 4382 Dr. Anwar Sb.,1883010.0,0.6268863122163877,2024-01,2025-10,18,-0.05540018476349529
Lease expenses,1735000.0,0.4388846300714286,2024-01,2025-09,18,0.34789145015804485
Vehicle 2.OD Repair 4382 Dr.Sb,1368011.0,0.45761624109116844,2024-01,2025-06,16,0.6834442285123635
Labour charges-Cotton Seed,1362379.0,0.5442856599466495,2024-01,2025-05,13,0.9207345713214581
Farm Lease Expenses,1353754.0,2.5463904016681607,2024-03,2024-05,2,-0.32231527862806386
Sales Promotion Expenses,1338192.0,0.40199652126120505,2024-01,2025-09,19,0.6488285563444239
Dep.on Vehicles Factory,1326278.0,7.6465295664894155,2025-03,2025-03,1,
Ploughing expenses,1313037.0,1.2593600604671025,2024-07,2025-10,11,8.540983733006575
Repair & Maint. Plant & Machinery,1301969.0,0.5761866811483549,2024-01,2025-10,17,5.943435272540402
Discount-on delinted of cottonseed,1256285.0,0.5075970094588588,2024-09,2025-09,7,12.867744158628499
Advertisement Expenses-selling,1182941.0,0.6322041106786366,2024-01,2025-10,22,2.1094915716604996
Entertainment  (Factory),1144628.0,0.3482110109455877,2024-01,2025-10,22,0.505464081326887
Fertilizer Exp,1120625.0,0.8682318720124588,2024-09,2025-09,4,0.26217995958585466
Ploughing expenses-fty,1116000.0,0.31618035146159634,2024-01,2025-09,18,0.0
Additional Discount,1110413.0,0.517982363229941,2024-02,2025-08,7,0.43055936188275407
Fertilizer Expenses,1063797.0,0.5102234890204123,2024-03,2025-09,8,1.1780051585016695
Labour Charges Dryer Corn,1054143.0,0.6078872494502743,2024-01,2025-03,7,0.20968355714089537
Freight & Octroi Paddy,1050150.0,0.41846329200961585,2024-02,2025-06,11,4.63477431175936
Purchase of SSG(Lines seed),1035799.0,2.024704567067774,2024-12,2024-12,1,
Pesticide Expenses,1011340.0,0.429199057992268,2024-01,2025-09,19,-2.777823878548656
Audit Fee,1000000.0,1.2786412261348201,2024-06,2024-12,2,0.0
Micronutrient expenses,987800.0,0.5531680741928499,2024-01,2025-10,21,0.039438349007314535
Vehicle R&M POL 2260 Rizwan Sb.,951870.0,0.37058956085434835,2024-01,2025-10,21,0.31914405475918073
Vehicle R&M POL 118,936618.0,0.2578093224013341,2024-01,2025-09,21,0.0476011927115268
Vehicle POL LEH-7012 Hassan Shah,910935.0,0.4513248327600843,2024-01,2025-10,22,0.23619018159007132
Wood Expenses(Dryer),881422.0,0.7747702569856336,2024-01,2025-10,7,0.13247367191278434
Vehicle R&M POL PA-443,871810.0,1.5575191101702286,2025-03,2025-10,8,0.08151189661938638
Freight & Octroi - wheat seed,864905.0,0.7084372092201765,2024-01,2025-02,5,6.351195915204016
Lease Expenses,862572.0,0.8929860389231224,2024-03,2025-09,3,13.283413637028884
Discount on sale of sesame seed,815300.0,0.6109056787393045,2024-09,2025-09,4,4.76788369128587
Discount of Paddy,815100.0,0.9019696590389701,2024-08,2025-09,5,2.297569267509857
Canteen Expenses,806478.0,0.3279844388133462,2024-01,2025-10,22,0.5549234202037024
Baling expenses-silage,805644.0,1.8414921341976567,2024-03,2024-09,2,-0.5385779122541603
labour charges-paddy,799594.0,0.1672895317761331,2024-03,2025-09,17,0.699303445347084
Vehicle R&M Pol 418 (Akhtar),787986.0,0.25501805797293353,2024-01,2025-08,15,0.16825106315415878
Hybrid Testing Fee,748400.0,0.33062543539328776,2024-01,2025-09,11,-0.7576354055088933
Irrigation Expenses,738742.0,0.32089756463269636,2024-01,2025-10,16,0.5705119346020792
Electricity Charges (H.O),737321.0,0.22606834372283274,2024-01,2025-09,15,0.3301681260841587
Freight & Octroi-wheat,715192.0,0.32311218526709123,2024-04,2025-08,5,49.705327696510295
Incentive staff-selling,712456.0,1.0093994839679583,2024-05,2025-05,2,-0.21886000000000005
labour charges-wheat(DAL),709550.0,0.2801774038958388,2024-05,2025-08,11,27.31676905571686
"Rent, Rates & Taxes",694910.0,0.31092525377291935,2024-02,2025-10,9,2.941594992821904
Labour charges-Cotton seed,683079.0,0.3079001257415812,2024-01,2025-05,11,0.5321703235189917
Purchase of Oil Seed,680000.0,8.464220270259341,2025-07,2025-07,1,
Labour charges-SSG,670696.0,0.17090457144061713,2024-01,2025-06,15,2.9893122548494095
Telephone Expenses,669867.0,2.0791580858592416,2024-05,2024-05,1,
Vehicle POL LZH-5455,663260.0,0.19359427494957515,2024-01,2025-06,18,0.03475899829798229
Fertilizer,653899.0,1.0023900627890132,2024-03,2025-09,2,61.2214057816881
Tag & Sticker Expenses,647868.0,0.40777997796558474,2024-02,2025-10,16,0.5537884534621285
Labour charges(DAL)Pddy,625137.0,0.14154045992456232,2024-02,2025-08,19,8.907035650763518
Legal & Professional Charges,584740.0,0.1259766187605764,2024-01,2025-09,21,0.4860491790803313
Salary & wages,572000.0,0.2125698029685274,2024-01,2025-01,13,0.0
Insurance Stock,548150.0,0.4981712096425999,2024-06,2025-08,3,-0.3083942479252698
House Rent (G.M.),541720.0,0.2701954070696767,2024-01,2025-10,22,0.011489988466936243
Premium on Wheat Seed,514260.0,0.38629209546870036,2024-04,2025-05,3,-0.5720928499368814
Vehicle R&M POL 6677 Sohail Sb,498666.0,0.2058925906836381,2024-02,2025-09,13,0.11079258927270234
Telephone & Telex Charges (H.O),475900.0,0.20114802923368869,2024-02,2025-09,15,0.5062355894741696
Vehicle Repair LZH-5455,473750.0,0.1802587151809871,2024-01,2025-06,18,3.0151896404974075
Freight-sesame seed,464150.0,0.14421906183349434,2024-01,2025-07,11,1.1123284080820102
E.O.B.I Factory,461779.0,0.1233900468100148,2024-01,2025-09,21,0.013445156125182451
Ploughing Expenses,461702.0,0.3268072393055337,2024-01,2025-05,10,1.0571627027078112
Vehicle R&M Repair 2260 Rizwan Sb.,460800.0,0.16780137422966185,2024-01,2025-09,17,2.885488152491399
Labour charges-wheat,459548.0,0.1494204590055193,2024-04,2025-07,14,2.734999185227232
Purchase of Kappas,443235.0,5.927038990471754,2024-07,2024-07,1,
Printing & Stationery  (Factory),443054.0,0.16053845593677077,2024-01,2025-10,22,0.8132229461740863
Vehicle POL 2995 Aslam Sb.,442975.0,0.14414141407502765,2024-01,2025-10,22,0.0188383134239642
Entertainment (H.O),440186.0,0.1447842491370133,2024-02,2025-09,16,0.3588128312531226
Vehicle Repair LEH-7012 Hassan Shah,422000.0,0.19131788893338417,2024-01,2025-10,21,1.0761534284836773
Farm Lease,421950.0,0.7936812637418462,2024-03,2024-05,2,-0.3223130966533735
