month,HEAD,total_pkr,month_expense_total_pkr,total_revenue_pkr,pct_of_expenses,pct_of_revenue
2025-08,Vehicle POL KWK-20-8845 Shahid Sajj,7753.0,18919241.5,45981892.0,0.04097944412834944,0.016860985189561143
2025-08,Telephone Exp Fty PTCL,7490.0,18919241.5,45981892.0,0.03958932497373111,0.016289020904142002
2025-08,Vehicle POL 6793 Subhan Ali,7200.0,18919241.5,45981892.0,0.03805649396673751,0.015658337851778694
2025-08,Freight & Octroi-chemicals,7090.0,18919241.5,45981892.0,0.03747507530891236,0.015419113245709853
2025-08,Labortary Expenses,7050.0,18919241.5,45981892.0,0.03726365034243048,0.015332122479866641
2025-08,Vehicle POL-KWM-17-7032 M.Khalid,7000.0,18919241.5,45981892.0,0.036999369134328136,0.015223384022562621
2025-08,Freight & octroi-packing material,6750.0,18919241.5,45981892.0,0.03567796309381642,0.014679691736042525
2025-08,Vehicle POL KWN-17-4123 Naveed,5500.0,18919241.5,45981892.0,0.02907093289125782,0.01196123030344206
2025-08,Misc expense Paddy,4900.0,18919241.5,45981892.0,0.025899558394029697,0.010656368815793835
2025-08,Entertainmetn-Mfg,4640.0,18919241.5,45981892.0,0.02452529611189751,0.010090928837812938
2025-08,labour charges-wheat(DAL),4583.0,18919241.5,45981892.0,0.024224015534660838,0.009966966996486356
2025-08,Additional Discount,4000.0,18919241.5,45981892.0,0.021142496648187507,0.008699076584321497
2025-08,Vehicle POL AGC-21-3228 Abdul Rauf,4000.0,18919241.5,45981892.0,0.021142496648187507,0.008699076584321497
2025-08,Freight & Octroi-wheat,3500.0,18919241.5,45981892.0,0.018499684567164068,0.007611692011281311
2025-08,House Rent (Faisal Driver),3500.0,18919241.5,45981892.0,0.018499684567164068,0.007611692011281311
2025-08,Vehicle Repari AGB-6545 Faisal Driv,3300.0,18919241.5,45981892.0,0.017442559734754694,0.0071767381820652355
2025-08,Vehicle POL 6793   Aslam Shakir,3000.0,18919241.5,45981892.0,0.015856872486140632,0.006524307438241122
2025-08,Vehicle POL AGB-6545 Faisal Driver,3000.0,18919241.5,45981892.0,0.015856872486140632,0.006524307438241122
2025-08,Labour charges-Peas seed,2947.0,18919241.5,45981892.0,0.015576734405552147,0.0064090446734988635
2025-08,Misc.Expenses-HO,2900.0,18919241.5,45981892.0,0.015328310069935944,0.006306830523633085
2025-08,Misc. Expenses,2860.0,18919241.5,45981892.0,0.015116885103454068,0.00621983975778987
2025-08,Vehicle POL -17-2347 Mess Safdar,2800.0,18919241.5,45981892.0,0.014799747653731257,0.006089353609025048
2025-08,Vehicle Repair AGC-21-3251 Zakria,2800.0,18919241.5,45981892.0,0.014799747653731257,0.006089353609025048
2025-08,Telephone Exp Akhtar Ali,2700.0,18919241.5,45981892.0,0.014271185237526568,0.005871876694417011
2025-08,Telephone Exp Hassan Gardezi,2620.0,18919241.5,45981892.0,0.013848335304562817,0.0056978951627305804
2025-08,Telephone Exp Khaliq Dad,2600.0,18919241.5,45981892.0,0.013742622821321882,0.0056543997798089735
2025-08,Telephone Exp-Rizwan Sb,2600.0,18919241.5,45981892.0,0.013742622821321882,0.0056543997798089735
2025-08,Postal & Courier Charges,2587.0,18919241.5,45981892.0,0.01367390970721527,0.005626127780909929
2025-08,Telephone Exp M.Khalid,2230.0,18919241.5,45981892.0,0.011786941881364536,0.004849735195759235
2025-08,Vehicle Repari KWM-17-2347 Mess,2230.0,18919241.5,45981892.0,0.011786941881364536,0.004849735195759235
2025-08,Telephone Exp Aslam Sb,2200.0,18919241.5,45981892.0,0.011628373156503129,0.004784492121376824
2025-08,Telephone Exp Hassan Raza,2200.0,18919241.5,45981892.0,0.011628373156503129,0.004784492121376824
2025-08,Telephone Exp Zakria,2200.0,18919241.5,45981892.0,0.011628373156503129,0.004784492121376824
2025-08,Vehicle Repair KWM17-4525 Haider A,1900.0,18919241.5,45981892.0,0.010042685907889065,0.004132061377552711
2025-08,Vehicle Repair-KWM-19-2868 Nazar Ai,1800.0,18919241.5,45981892.0,0.009514123491684378,0.0039145844629446735
2025-08,Vehicle Repair KWK-20-8845 Shahid S,1790.0,18919241.5,45981892.0,0.00946126725006391,0.0038928367714838705
2025-08,Vehicle Repair 6793 Subhan Ali,1730.0,18919241.5,45981892.0,0.009144129800341098,0.003762350622719048
2025-08,Vehicle Repair KWM-19-3348 Zain Ul,1650.0,18919241.5,45981892.0,0.008721279867377347,0.0035883690910326177
2025-08,Bank Charges,1629.0,18919241.5,45981892.0,0.008610281759974362,0.00354269893896493
2025-08,Labour charges-Misc.,1569.0,18919241.5,45981892.0,0.00829314431025155,0.003412212790200107
2025-08,Telephone Exp Naveed,1500.0,18919241.5,45981892.0,0.007928436243070316,0.003262153719120561
2025-08,Vehicle R&M Repair 2260 Rizwan Sb.,1500.0,18919241.5,45981892.0,0.007928436243070316,0.003262153719120561
2025-08,Telephone Exp Farid,1400.0,18919241.5,45981892.0,0.0073998738268656284,0.003044676804512524
2025-08,Insect Net,1312.0,18919241.5,45981892.0,0.006934738900605503,0.0028532971196574513
2025-08,Newspaper & Perodical,1305.0,18919241.5,45981892.0,0.0068977395314711734,0.002838073735634889
2025-08,Telephone Exp Haider Abbas,1000.0,18919241.5,45981892.0,0.005285624162046877,0.0021747691460803744
2025-08,Telephone Exp Nazar Ali,1000.0,18919241.5,45981892.0,0.005285624162046877,0.0021747691460803744
2025-08,Vehicle Running & Maint.Gen(Factor,1000.0,18919241.5,45981892.0,0.005285624162046877,0.0021747691460803744
2025-08,Telephone Exp Abdul Rauf,900.0,18919241.5,45981892.0,0.004757061745842189,0.0019572922314723368
2025-08,Telephone Exp Shahid Sajjad,900.0,18919241.5,45981892.0,0.004757061745842189,0.0019572922314723368
2025-08,Telephone & Telex  (Factory),800.0,18919241.5,45981892.0,0.0042284993296375015,0.0017398153168642996
2025-08,Telephone Exp Kafitullah,800.0,18919241.5,45981892.0,0.0042284993296375015,0.0017398153168642996
2025-08,Telephone Exp Subhan Ali,650.0,18919241.5,45981892.0,0.0034356557053304704,0.0014135999449522434
2025-08,Vehicle Repair KWM-17-7032 M.Khalid,630.0,18919241.5,45981892.0,0.0033299432220895327,0.0013701045620306358
2025-08,Vehicle Repair 2995 Aslam Sb.,500.0,18919241.5,45981892.0,0.0026428120810234384,0.0010873845730401872
2025-08,Income-Chak Shahana farm,-20000.0,18919241.5,45981892.0,-0.10571248324093754,-0.04349538292160749
2025-08,Other Income,-31437.0,18919241.5,45981892.0,-0.16616416678226767,-0.06836821764532873
2025-08,Processing of Peas seed,-95136.0,18919241.5,45981892.0,-0.5028531402804917,-0.20689883748150248
2025-08,Processing charges of Okra seed,-122000.0,18919241.5,45981892.0,-0.6448461477697189,-0.2653218358218057
2025-09,Seasonal Disc.Corn(Mosmi)July-Dec,9800323.0,32813445.02,6832212.0,29.86679086583759,143.4428996055743
2025-09,Mark-up on Redeemable Capt. NDFC,4509163.14,32813445.02,6832212.0,13.741815701617544,65.99858347486874
2025-09,Mark-up on Al-Towfiq,3227779.0,32813445.02,6832212.0,9.836757457294254,47.24354279404679
2025-09,Mark-up on Supliers Credit Loan,1986596.4,32813445.02,6832212.0,6.054214663498931,29.076913889674383
2025-09,Labour charges Detasseling corn(Co),1926000.0,32813445.02,6832212.0,5.869545239233768,28.189991762550694
2025-09,Packing Material Consumed,1612569.0,32813445.02,6832212.0,4.914354463596032,23.602443835173734
2025-09,Salary & Wages,1127581.0,32813445.02,6832212.0,3.4363383646939,16.503893614542406
2025-09,Salary & Wages-Production staff,1110269.0,32813445.02,6832212.0,3.3835795032288876,16.250505692739043
2025-09,Salaries & Wages (H.O),896000.0,32813445.02,6832212.0,2.730588024067215,13.114347154333034
2025-09,Salaries & Wages,850507.0,32813445.02,6832212.0,2.59194668368899,12.448486668739202
2025-09,Directors Remuneration,840000.0,32813445.02,6832212.0,2.559926272563014,12.294700457187218
2025-09,Lease Expenses,792247.0,32813445.02,6832212.0,2.4143975114990837,11.595761372744288
2025-09,Chemicals Consumed,699337.0,32813445.02,6832212.0,2.131251380565953,10.2358796828904
2025-09,Labour Charges,676384.0,32813445.02,6832212.0,2.0613013951681687,9.899926992897761
2025-09,Fee & Subscription,658435.0,32813445.02,6832212.0,2.0066012562797955,9.637215589914366
2025-09,Germination Claim,644600.0,32813445.02,6832212.0,1.9644386610644275,9.43471894607486
2025-09,Fertilizer,643556.0,32813445.02,6832212.0,1.9612570384113848,9.419438389792354
2025-09,Purchase of canola cooking oil,570337.0,32813445.02,6832212.0,1.7381198458509188,8.347764969822364
2025-09,Freight & octroi-corn seed,413000.0,32813445.02,6832212.0,1.258630417343482,6.0448943914503825
2025-09,Salaries & Wages (Factory),362708.0,32813445.02,6832212.0,1.105363974367602,5.308793111220788
2025-09,Pesticide Consumed,302065.0,32813445.02,6832212.0,0.9205525351449367,4.421188920952687
2025-09,Pesticide expenses,294399.0,32813445.02,6832212.0,0.8971901603765224,4.30898514273269
2025-09,Labour charges-Misc,269230.0,32813445.02,6832212.0,0.8204868456692147,3.9405978620101365
2025-09,Labour charges-corn(DAL),256765.0,32813445.02,6832212.0,0.7824993683031457,3.7581532891543765
2025-09,Fertilizer Exp,227399.0,32813445.02,6832212.0,0.6930055648268535,3.328336415790376
2025-09,Discount-on delinted of cottonseed,226965.0,32813445.02,6832212.0,0.6916829362526958,3.3219841538874966
2025-09,Fertilizer Expenses,192699.0,32813445.02,6832212.0,0.5872562295197861,2.820448194523238
2025-09,Electricity Expenses,152306.0,32813445.02,6832212.0,0.46415729865355054,2.229234104562329
2025-09,Discount-wheat seed,150000.0,32813445.02,6832212.0,0.4571296915291097,2.1954822244977175
2025-09,Wood Expenses(Dryer),129321.0,32813445.02,6832212.0,0.3941097922549066,1.8928130450284624
2025-09,Vehicle R&M POL LEC 9352,129000.0,32813445.02,6832212.0,0.39313153471503437,1.888114713068037
2025-09,Lease exp,113178.0,32813445.02,6832212.0,0.34491349485254386,1.6565352480280178
2025-09,Discount on sale of sesame seed,110800.0,32813445.02,6832212.0,0.337666465476169,1.6217295364956474
2025-09,Vehicle R&M POL PA-443,106600.0,32813445.02,6832212.0,0.32486683411335393,1.5602560342097112
2025-09,Vehicle Running & Maint. (H.O),105736.0,32813445.02,6832212.0,0.3222337670901463,1.5476100565966044
2025-09,Labour charges,104800.0,32813445.02,6832212.0,0.31938127781500464,1.5339102475157387
2025-09,Labour charges(Daily Marketing staf,87440.0,32813445.02,6832212.0,0.26647613484870236,1.2798197714005362
2025-09,Vehicle R&M Repair LEC-9352,83300.0,32813445.02,6832212.0,0.25385935536249893,1.219224462004399
2025-09,Pesticide Corn Exp,81119.0,32813445.02,6832212.0,0.24721268964766566,1.1873021504602024
2025-09,Travelling & conv. Others       (G),76377.0,32813445.02,6832212.0,0.23276129633279208,1.1178956390697479
2025-09,Diesel for Generator Consumed,75648.0,32813445.02,6832212.0,0.23053964603196062,1.107225595458689
2025-09,Vehicle R&M POL 2260 Rizwan Sb.,71000.0,32813445.02,6832212.0,0.21637472065711194,1.0391949195955863
